,ACC_test,ACC_ucz,F1_test,F1_ucz,P_test,P_ucz,R_test,R_ucz
knn_05_full,0.894736842,0.912087912,0.923076923,0.930555556,0.98630137,0.943661972,0.86746988,0.917808219
knn_05_red,0.903508772,0.90989011,0.927152318,0.928942808,0.95890411,0.943661972,0.897435897,0.914675768
knn_05_full_norm_l1,0.912280702,0.887912088,0.935897436,0.913117547,1,0.943661972,0.879518072,0.884488449
knn_05_red_norm_l1,0.561403509,0.771428571,0.671052632,0.827242525,0.698630137,0.876760563,0.64556962,0.783018868
knn_05_full_norm_l2,0.929824561,0.89010989,0.947368421,0.914965986,0.98630137,0.947183099,0.911392405,0.884868421
knn_05_red_norm_l2,0.552631579,0.778021978,0.670967742,0.831385643,0.712328767,0.876760563,0.634146341,0.79047619
knn_10_2_dist,0.894736842,1,0.923076923,1,0.98630137,1,0.86746988,1
knn_15_red,0.921052632,0.89010989,0.941935484,0.914383562,1,0.940140845,0.890243902,0.89
knn_10_norm_l1,0.921052632,0.881318681,0.940397351,0.906574394,0.97260274,0.922535211,0.91025641,0.891156463
knn_15_norm_l2,0.885964912,0.879120879,0.918238994,0.907251265,1,0.947183099,0.848837209,0.870550162
knn_20_dist_red_norm_l1,0.596491228,1,0.716049383,1,0.794520548,1,0.651685393,1
knn_20_dist_red_norm_l2,0.596491228,1,0.7125,1,0.780821918,1,0.655172414,1
